------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[ 83] local 10.1.0.1 port 5001 connected with 10.3.0.1 port 54858
[ 84] local 10.1.0.1 port 5001 connected with 10.4.0.2 port 41932
[ 80] local 10.1.0.1 port 5001 connected with 10.2.0.1 port 39592
[ 81] local 10.1.0.1 port 5001 connected with 10.1.0.2 port 47354
[ 82] local 10.1.0.1 port 5001 connected with 10.2.0.2 port 58710
[ 85] local 10.1.0.1 port 5001 connected with 10.7.0.1 port 50944
[ 86] local 10.1.0.1 port 5001 connected with 10.4.0.1 port 40386
[ 88] local 10.1.0.1 port 5001 connected with 10.5.0.1 port 51106
[ 87] local 10.1.0.1 port 5001 connected with 10.7.0.2 port 33478
[ 89] local 10.1.0.1 port 5001 connected with 10.5.0.2 port 43520
[ 90] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 48444
[ ID] Interval       Transfer     Bandwidth
[ 81]  0.0-20.0 sec  40.9 MBytes  17.2 Mbits/sec
[ 83] 19.0-20.0 sec   134 KBytes  1.10 Mbits/sec
[ 84] 19.0-20.0 sec   156 KBytes  1.27 Mbits/sec
[ 82] 19.0-20.0 sec  35.4 KBytes   290 Kbits/sec
[ 86] 19.0-20.0 sec   167 KBytes  1.37 Mbits/sec
[ 88] 19.0-20.0 sec   348 KBytes  2.85 Mbits/sec
[ 86]  0.0-20.1 sec  10.6 MBytes  4.44 Mbits/sec
[ 85] 19.0-20.0 sec   167 KBytes  1.37 Mbits/sec
[ 80] 19.0-20.0 sec   262 KBytes  2.14 Mbits/sec
[ 82]  0.0-20.1 sec  7.38 MBytes  3.07 Mbits/sec
[ 88]  0.0-20.1 sec  9.25 MBytes  3.86 Mbits/sec
[ 90] 19.0-20.0 sec   250 KBytes  2.05 Mbits/sec
[ 87] 19.0-20.0 sec  56.6 KBytes   463 Kbits/sec
[ 83]  0.0-20.3 sec  9.25 MBytes  3.82 Mbits/sec
[ 84]  0.0-20.3 sec  14.2 MBytes  5.88 Mbits/sec
[ 90]  0.0-20.2 sec  8.75 MBytes  3.64 Mbits/sec
[ 89] 17.0-18.0 sec  50.9 KBytes   417 Kbits/sec
[ 89] 18.0-19.0 sec  0.00 Bytes  0.00 bits/sec
[ 89] 19.0-20.0 sec  0.00 Bytes  0.00 bits/sec
[ 80]  0.0-20.4 sec  19.5 MBytes  8.01 Mbits/sec
[ 85]  0.0-20.4 sec  8.12 MBytes  3.34 Mbits/sec
[ 91] 18.0-19.0 sec   298 KBytes  2.44 Mbits/sec
[ 92] 18.0-19.0 sec   206 KBytes  1.69 Mbits/sec
[ 91]  0.0-19.0 sec  6.62 MBytes  2.92 Mbits/sec
[ 89]  0.0-20.5 sec  9.62 MBytes  3.94 Mbits/sec
[ 87]  0.0-20.6 sec  7.75 MBytes  3.15 Mbits/sec
[ 92]  0.0-19.6 sec  13.0 MBytes  5.58 Mbits/sec
